"scientific_name","StateNum","slope","lower_CI","upper_CI","Adj_R2","Trend"
"Antrostomus carolinensis",83,-0.0172984356197352,-0.0423520169955118,0.0077551457560414,0.0395964091613367,"Stable"
"Antrostomus vociferus",83,NA,NA,NA,NA,NA
"Aphelocoma wollweberi",83,0.0645341788678449,-0.198127926152861,0.327196283888551,-0.0423480686210742,"Stable"
"Aphelocoma woodhouseii",83,-0.0805254713196953,-0.126078641417488,-0.034972301221903,0.329953755573074,"Decreasing"
"Aquila chrysaetos",83,0.0231607629427802,-0.0295401107987362,0.0758616366842966,-0.00375416288222796,"Stable"
"Aramus guarauna",83,NA,NA,NA,NA,NA
"Archilochus alexandri",83,-0.0132872041716809,-0.0400491437645492,0.0134747354211873,0.00199788077251328,"Stable"
"Archilochus colubris",83,-0.0126353790613718,-0.0394532909749392,0.0141825328521957,-0.00218110709988051,"Stable"
"Ardea alba",83,-0.0625752105896523,-0.230068602260145,0.104918181080841,-0.0164854954032247,"Stable"
"Ardea herodias",83,-0.0279281989570799,-0.0562986642835377,0.000442266369377886,0.111202897200211,"Stable"
"Arremonops rufivirgatus",83,0.0734556758924984,-0.0646387897633177,0.211550141548314,0.00814289657044176,"Stable"
"Asio flammeus",83,NA,NA,NA,NA,NA
"Asio otus",83,NA,NA,NA,NA,NA
"Athene cunicularia",83,0.134727236261533,0.0356976394386274,0.233756833084439,0.215912514112833,"Increasing"
"Auriparus flaviceps",83,-0.162505014039311,-0.267947019693188,-0.057063008385434,0.267243073445363,"Decreasing"
"Aythya affinis",83,NA,NA,NA,NA,NA
"Aythya americana",83,0.175675675675678,-0.0431590976528279,0.394510449004183,0.107531086891716,"Stable"
"Aythya collaris",83,NA,NA,NA,NA,NA
"Aythya valisineria",83,NA,NA,NA,NA,NA
"Baeolophus atricristatus",83,-0.0673886883273166,-0.162379258887284,0.0276018822326513,0.0437513176323302,"Stable"
"Baeolophus bicolor",83,-0.188678299237867,-0.329235607043229,-0.048120991432506,0.210749587610955,"Decreasing"
"Baeolophus ridgwayi",83,NA,NA,NA,NA,NA
"Baeolophus wollweberi",83,NA,NA,NA,NA,NA
"Bartramia longicauda",83,0.362068965517241,-3.67054866316701,4.39468659420149,-0.395843174303259,"Stable"
"Bombycilla cedrorum",83,NA,NA,NA,NA,NA
"Botaurus lentiginosus",83,0.129220023282889,-0.24008299359892,0.498523040164697,0.296856810244476,"Stable"
"Branta canadensis",83,0.00708676498754371,-0.753400224918478,0.767573754893565,-0.0555330788994179,"Stable"
"Bubo virginianus",83,-0.0165463297232252,-0.0336935890502312,0.000600929603780859,0.106068420147843,"Stable"
"Bubulcus ibis",83,-1.54517649418373,-2.43242623122041,-0.657926757147047,0.322848567629946,"Decreasing"
"Buteo albonotatus",83,0.0023183925811437,-0.0172870594035895,0.0219238445658769,-0.0583431945517776,"Stable"
"Buteo jamaicensis",83,0.00762133975130359,-0.016492775491123,0.0317354549937301,-0.0235206196397535,"Stable"
"Buteo lineatus",83,0.00922583233052548,-0.00785974722671935,0.0263114118877703,0.00958795739180807,"Stable"
"Buteo plagiatus",83,2.1948330626081e-17,2.91345046856645e-18,4.09832107835956e-17,0.00722205269046916,"Stable"
"Buteo platypterus",83,-0.00112563145179031,-0.0282426862963899,0.0259914233928093,-0.0431438341338883,"Stable"
"Buteo regalis",83,0.0300963081861958,-0.0313313579711469,0.0915239743435386,0.00690190100513643,"Stable"
"Buteo swainsoni",83,0.0357501002807862,0.012448929519541,0.0590512710420314,0.265291684732663,"Stable"
"Buteogallus anthracinus",83,NA,NA,NA,NA,NA
"Butorides virescens",83,-0.00621740874448472,-0.0321775962071619,0.0197427787181924,-0.0311688632309899,"Stable"
"Cairina moschata",83,NA,NA,NA,NA,NA
"Calamospiza melanocorys",83,-0.184767348576012,-0.82985555820265,0.460320861050626,-0.0267171037024465,"Stable"
"Calcarius ornatus",83,NA,NA,NA,NA,NA
"Callipepla californica",83,NA,NA,NA,NA,NA
"Callipepla gambelii",83,1.19444444444445,0.697907785544793,1.6909811033441,0.486118819122726,"Increasing"
"Callipepla squamata",83,0.0773666265543524,-0.217183610236744,0.371916863345449,-0.0290658930801113,"Stable"
"Calothorax lucifer",83,0,0,0,NA,"Stable"
"Camptostoma imberbe",83,0.0130280300039505,-0.124764301393628,0.150820361401529,-0.0795156933936505,"Stable"
"Campylorhynchus brunneicapillus",83,-0.223124749298035,-0.37982147126258,-0.0664280273334898,0.233993296457515,"Decreasing"
"Caracara plancus",83,-0.00872442839951899,-0.083896632577861,0.066447775778823,-0.0391822948718312,"Stable"
"Cardellina pusilla",83,NA,NA,NA,NA,NA
"Cardellina rubrifrons",83,NA,NA,NA,NA,NA
"Cardinalis cardinalis",83,0.0277777777777773,-0.145415455040601,0.200971010596156,-0.0369324396753519,"Stable"
"Cardinalis sinuatus",83,-0.0657340553549929,-0.199005642143261,0.0675375314332756,0.00144960102985581,"Stable"
"Cathartes aura",83,-0.0620738066586453,-0.148413116403341,0.0242655030860504,0.0458667904175816,"Stable"
"Catharus fuscescens",83,NA,NA,NA,NA,NA
"Catharus guttatus",83,NA,NA,NA,NA,NA
"Catharus ustulatus",83,NA,NA,NA,NA,NA
"Catherpes mexicanus",83,-0.00310870437224228,-0.0459050750520683,0.0396876663075838,-0.040692052634107,"Stable"
"Centronyx henslowii",83,NA,NA,NA,NA,NA
"Certhia americana",83,NA,NA,NA,NA,NA
"Chaetura pelagica",83,-0.137785800240674,-0.173999526167272,-0.101572074314076,0.708165753844602,"Decreasing"
"Charadrius melodus",83,NA,NA,NA,NA,NA
"Charadrius montanus",83,NA,NA,NA,NA,NA
"Charadrius nivosus",83,-0.0156249999999996,-0.0760272963064522,0.0447772963064529,-0.102500000000003,"Stable"
"Charadrius vociferus",83,-0.139039310068192,-0.183331354759116,-0.094747265377267,0.62107399411973,"Decreasing"
"Charadrius wilsonia",83,0.0333481547354373,-0.0284059889785911,0.0951022984494656,0.0126425200190904,"Stable"
"Chlidonias niger",83,NA,NA,NA,NA,NA
"Chloroceryle americana",83,1.68603022117504e-17,-3.73468299158805e-17,7.10674343393812e-17,0.15632551091454,"Stable"
"Chondestes grammacus",83,-0.0692940232651434,-0.129420480699951,-0.00916756583033589,0.157047518576586,"Decreasing"
"Chondrohierax uncinatus",83,NA,NA,NA,NA,NA
"Chordeiles acutipennis",83,-0.108754512635379,-0.231630718571945,0.0141216933011865,0.0854832567411257,"Stable"
"Chordeiles minor",83,-0.191436020858404,-0.238186747381642,-0.144685294335167,0.73801280896632,"Decreasing"
"Circus hudsonius",83,-0.00527760829774233,-0.042546815597763,0.0319915990022784,-0.0433104725051037,"Stable"
"Cistothorus palustris",83,-0.0633592349073521,-0.179857711238463,0.0531392414237587,0.0190006402068077,"Stable"
"Cistothorus stellaris",83,NA,NA,NA,NA,NA
"Coccothraustes vespertinus",83,NA,NA,NA,NA,NA
"Coccyzus americanus",83,-0.0698455675892499,-0.111738011097752,-0.0279531240807481,0.30247197103786,"Decreasing"
"Coccyzus erythropthalmus",83,NA,NA,NA,NA,NA
"Colaptes auratus",83,0.0219181907022198,-0.052339084322778,0.0961754657272176,-0.0543943188641796,"Stable"
"Colaptes auratus auratus",83,-0.0211091054953871,-0.051106272140733,0.00888806114995888,0.0424898997496014,"Stable"
"Colaptes auratus cafer",83,-0.0386285714285715,-0.0756639987284377,-0.00159314412870529,0.166731797235023,"Stable"
